millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
895777,77.75,77.00,77.37,110.00,0.77,0.18,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
896499,78.25,77.50,77.87,109.75,0.77,0.04,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
897219,79.00,77.25,78.12,109.50,0.78,0.04,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
897934,79.75,78.50,79.12,110.00,0.74,-0.03,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
898643,80.00,79.00,79.50,109.75,0.84,0.00,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
899358,80.75,79.50,80.12,109.75,0.85,0.00,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
900078,80.75,79.50,80.12,110.00,0.74,-0.07,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
900786,81.50,80.25,80.87,110.25,0.70,0.04,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
901491,82.25,80.75,81.50,109.75,0.77,0.00,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
902200,82.50,81.00,81.75,109.25,0.74,-0.11,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
902909,82.50,81.75,82.12,110.25,0.70,-0.18,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
903614,83.25,81.50,82.37,109.75,0.67,0.03,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
904323,84.00,82.75,83.37,109.50,0.70,-0.00,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
905048,84.25,82.50,83.37,110.25,0.70,-0.00,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
905753,84.50,83.25,83.87,110.00,0.63,0.03,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
906465,85.50,83.50,84.50,110.25,0.63,0.03,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
907173,86.00,84.25,85.12,110.25,0.67,0.07,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
907883,86.25,84.75,85.50,110.25,0.74,0.03,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
908589,86.25,85.50,85.87,110.25,0.67,-0.00,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
909298,87.00,85.75,86.37,110.00,0.56,0.07,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
910003,87.75,86.25,87.00,109.50,0.63,0.10,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
